"trial.type","pas","trial","jitter.x","jitter.y","odd.digit","target.contrast","target.frames","cue","task","target.type","rt.subj","rt.obj","even.digit","obj.resp","subject"
"practice",4,0,0.776846098876,0.373740576928,3,0.1,9,0,"quadruplet","even",8.37484312057,1.33582615852,6,"e","015"
"practice",4,1,-0.613959700017,0.964700296345,5,0.1,8,0,"quadruplet","odd",1.90283489227,1.67812895775,8,"o","015"
"practice",4,2,-0.698655301973,0.921418954347,7,0.1,7,0,"quadruplet","even",2.47864508629,1.81123113632,2,"e","015"
"practice",4,3,-0.0629728817918,-0.0939913239716,9,0.1,6,0,"quadruplet","odd",1.37462592125,1.08331990242,6,"o","015"
"practice",4,4,0.659090160228,-0.102867209637,3,0.1,5,0,"quadruplet","even",1.51887488365,1.15206313133,2,"e","015"
"practice",3,5,-0.0233922218603,-0.917361747425,9,0.1,4,0,"quadruplet","odd",1.44620609283,1.70528697968,4,"e","015"
"practice",2,6,-0.39717143228,0.635780004642,9,0.1,3,0,"quadruplet","even",1.55874085426,2.41518783569,6,"o","015"
"practice",2,7,-0.850935705028,-0.10396158566,5,0.1,2,0,"quadruplet","odd",2.06294798851,1.69059514999,2,"o","015"
"practice",1,8,-0.795167253774,-0.58908553441,5,0.1,1,0,"quadruplet","even",0.606678009033,1.19254398346,8,"e","015"
"practice",4,9,0.593169275961,-0.377260168278,9,0.1,9,0,"quadruplet","odd",1.07880091667,1.5914208889,4,"o","015"
"practice",4,10,0.337278355043,0.712126738144,7,0.1,8,0,"quadruplet","even",0.782791852951,1.25291514397,4,"e","015"
"practice",4,11,-0.139914782564,-0.550573496187,7,0.1,7,0,"quadruplet","odd",0.950817108154,0.865605115891,8,"o","015"
"practice",4,12,-0.890049215047,-0.687372442964,7,0.1,6,0,"quadruplet","even",1.2149438858,1.02219414711,8,"e","015"
"practice",2,13,-0.118785355711,-0.697143239953,3,0.1,5,0,"quadruplet","odd",0.429935932159,1.4520471096,8,"o","015"
"practice",3,14,0.764800517281,0.488159423468,9,0.1,4,0,"quadruplet","even",0.974677085876,0.778206825256,2,"e","015"
"practice",3,15,0.543249583861,0.865443283016,5,0.1,3,0,"quadruplet","odd",0.742861032486,0.976351976395,4,"o","015"
"practice",2,16,-0.634362237135,0.529074328419,7,0.1,2,0,"quadruplet","even",1.13492703438,0.994240999222,2,"e","015"
"practice",1,17,-0.0265000227775,0.824091130622,3,0.1,1,0,"quadruplet","odd",0.982747077942,1.13526201248,4,"o","015"
"experiment",4,0,-0.237715412656,-0.660710893841,7,0.1,6,0,"quadruplet","odd",1.07872414589,1.00920200348,4,"o","015"
"experiment",2,1,-0.83443033694,0.0108911444292,3,0.1,2,0,"quadruplet","odd",0.662905931473,0.978790044785,8,"o","015"
"experiment",4,2,0.796574719152,-0.6171288507,7,0.1,4,0,"quadruplet","even",0.758860826492,1.24682283401,8,"e","015"
"experiment",4,3,0.704440686622,-0.685002701874,3,0.1,5,0,"quadruplet","even",0.550911903381,0.880872011185,6,"e","015"
"experiment",2,4,0.272166213521,-0.493258377222,3,0.1,1,0,"quadruplet","even",0.670657157898,1.57840204239,8,"o","015"
"experiment",2,5,0.852315252401,0.767817133938,7,0.1,3,0,"quadruplet","odd",1.01468300819,1.22784090042,2,"o","015"
"experiment",1,6,-0.671274321999,0.978013103018,7,0.1,1,0,"quadruplet","even",0.974910020828,1.15582895279,4,"e","015"
"experiment",4,7,0.101454005728,0.551813413809,9,0.1,6,0,"quadruplet","odd",0.446824073792,2.05158495903,2,"o","015"
"experiment",4,8,-0.408057641241,-0.44955734607,7,0.1,3,0,"quadruplet","even",0.470875024796,1.04811286926,8,"e","015"
"experiment",3,9,-0.899212995044,-0.853112879219,3,0.1,4,0,"quadruplet","odd",0.662689208984,1.64274501801,4,"o","015"
"experiment",3,10,0.382710181357,-0.512087963647,7,0.1,2,0,"quadruplet","even",1.17471790314,1.36147999763,2,"o","015"
"experiment",4,11,-0.704801232249,-0.328853825813,3,0.1,5,0,"quadruplet","odd",1.07779693604,1.82563304901,4,"o","015"
"experiment",4,12,0.334433742726,0.907248968744,3,0.1,5,14,"pairs","even",0.494627952576,1.4619538784,8,"e","015"
"experiment",4,13,0.464265527821,0.0963306021051,3,0.1,6,14,"pairs","even",1.87074899673,0.812400102615,2,"e","015"
"experiment",3,14,-0.595766791319,-0.301773753684,3,0.1,3,14,"pairs","odd",1.02276206017,1.15032601357,8,"o","015"
"experiment",2,15,0.647863568011,-0.370369573741,3,0.1,2,14,"pairs","odd",0.92666387558,1.80454707146,8,"e","015"
"experiment",4,16,-0.89901081092,-0.820018791328,9,0.1,4,14,"pairs","odd",0.558691978455,1.47159004211,2,"o","015"
"experiment",2,17,0.460383656843,-0.996809516823,3,0.1,1,14,"pairs","odd",1.08671092987,1.85348510742,8,"o","015"
"experiment",1,18,0.552630691401,0.951307715978,9,0.1,1,14,"pairs","even",0.734877109528,1.17077088356,2,"e","015"
"experiment",3,19,0.488150454013,-0.531276532436,3,0.1,2,14,"pairs","even",0.87891793251,1.53586792946,8,"o","015"
"experiment",4,20,-0.49667649676,-0.0684394195358,9,0.1,6,14,"pairs","even",0.542964935303,0.859839916229,8,"e","015"
"experiment",4,21,0.207671384144,-0.377773447954,9,0.1,4,14,"pairs","odd",0.926750183105,0.716464042664,8,"o","015"
"experiment",3,22,0.743637332447,0.19302727583,3,0.1,5,14,"pairs","odd",0.566800117493,3.80978083611,8,"e","015"
"experiment",3,23,-0.820047209216,-0.515252334075,3,0.1,3,14,"pairs","even",0.838932991028,1.44762587547,8,"e","015"
"experiment",4,24,-0.593530532125,-0.808957956642,5,0.1,3,9,"singles","even",0.54297208786,1.45771002769,6,"e","015"
"experiment",4,25,-0.0893798314642,0.64413956781,5,0.1,4,9,"singles","odd",0.950675964355,0.796498775482,6,"o","015"
"experiment",4,26,-0.68657442672,0.446539803035,5,0.1,6,9,"singles","even",0.406026124954,0.785342931747,6,"e","015"
"experiment",3,27,0.0748552033792,0.23368975179,5,0.1,2,9,"singles","odd",0.606913089752,1.05820798874,6,"e","015"
"experiment",2,28,-0.0215113825771,0.171057238582,5,0.1,1,9,"singles","even",0.542720079422,0.994791030884,6,"o","015"
"experiment",4,29,0.744613694998,0.789601751262,5,0.1,5,9,"singles","odd",0.750838041306,0.91406083107,6,"o","015"
"experiment",4,30,-0.538126477734,0.829180697455,5,0.1,3,9,"singles","even",0.67880487442,0.608837127686,6,"e","015"
"experiment",3,31,0.0730055547011,0.10151657537,5,0.1,4,9,"singles","odd",0.526821136475,0.898890972137,6,"e","015"
"experiment",2,32,-0.797301444953,-0.785068612969,5,0.1,2,9,"singles","odd",0.622828006744,1.26902198792,6,"o","015"
"experiment",4,33,-0.0705632950927,-0.633093558381,5,0.1,5,9,"singles","even",0.542699813843,0.664318084717,6,"e","015"
"experiment",4,34,-0.312788297217,0.996358329806,5,0.1,6,9,"singles","odd",0.542987823486,1.00520801544,6,"o","015"
"experiment",2,35,0.120780604548,0.0112419630835,5,0.1,1,9,"singles","even",0.471025943756,1.17520999908,6,"e","015"
"experiment",3,36,-0.769724892857,-0.80918311413,9,0.1,4,0,"quadruplet","odd",1.83099794388,0.920284986496,4,"o","015"
"experiment",4,37,-0.203785841545,-0.140675778481,3,0.1,6,0,"quadruplet","even",0.759051084518,0.715178966522,8,"e","015"
"experiment",4,38,-0.88777723813,-0.972157891873,7,0.1,5,0,"quadruplet","odd",0.567038059235,0.400078058243,8,"o","015"
"experiment",3,39,-0.815070577392,-0.759477670669,7,0.1,1,0,"quadruplet","even",0.454971790314,1.22820401192,2,"e","015"
"experiment",2,40,-0.77363077588,-0.640477078212,5,0.1,3,0,"quadruplet","odd",0.638780117035,1.31129598618,2,"o","015"
"experiment",2,41,-0.304238262951,-0.961551726885,7,0.1,2,0,"quadruplet","odd",0.574786186218,1.9892449379,2,"o","015"
"experiment",4,42,-0.603557682442,0.952360069627,9,0.1,2,0,"quadruplet","even",0.366715908051,3.56100797653,8,"e","015"
"experiment",4,43,0.735043213391,0.195899111113,7,0.1,6,0,"quadruplet","even",0.558776140213,1.18833994865,4,"e","015"
"experiment",3,44,-0.616841914328,-0.0113652370618,3,0.1,4,0,"quadruplet","odd",0.83110499382,1.06064105034,8,"o","015"
"experiment",2,45,-0.701328213561,-0.0485825288884,5,0.1,1,0,"quadruplet","even",0.82296705246,3.37829494476,8,"o","015"
"experiment",3,46,-0.136095957606,0.509570789319,7,0.1,5,0,"quadruplet","odd",0.470734834671,1.46270108223,4,"e","015"
"experiment",2,47,0.696122570979,-0.4980190818,5,0.1,3,0,"quadruplet","even",0.398782014847,2.05534100533,2,"o","015"
