"trial.type","pas","trial","jitter.x","jitter.y","odd.digit","target.contrast","target.frames","cue","task","target.type","rt.subj","rt.obj","even.digit","obj.resp","subject"
"practice",3,0,0.802068024794,0.626775232846,9,0.1,9,0,"quadruplet","even",3.87851595879,4.69532585144,4,"e","029"
"practice",4,1,0.849091092574,-0.988475332417,3,0.1,8,0,"quadruplet","odd",1.5588080883,0.858361005783,8,"o","029"
"practice",4,2,-0.357933766371,0.0536374377539,7,0.1,7,0,"quadruplet","even",1.25487589836,1.00251984596,8,"e","029"
"practice",4,3,0.237058384264,-0.165098009928,5,0.1,6,0,"quadruplet","odd",2.26283788681,0.849889993668,4,"o","029"
"practice",2,4,-0.575484667902,-0.592278111007,5,0.1,5,0,"quadruplet","even",3.06288504601,1.36394500732,8,"o","029"
"practice",3,5,0.49910271423,-0.598718124701,3,0.1,4,0,"quadruplet","odd",1.14284491539,0.930968046188,6,"o","029"
"practice",2,6,-0.817474522745,0.633614143969,5,0.1,3,0,"quadruplet","even",2.19876098633,1.81351304054,4,"o","029"
"practice",2,7,0.79684379239,-0.594950159842,3,0.1,2,0,"quadruplet","odd",1.25471115112,1.40625309944,2,"o","029"
"practice",1,8,0.522922334921,0.35738369795,9,0.1,1,0,"quadruplet","even",6.93480706215,1.96080303192,2,"e","029"
"practice",4,9,-0.596862932883,-0.101364734423,7,0.1,9,0,"quadruplet","odd",1.25491213799,0.799585103989,2,"o","029"
"practice",3,10,0.411480013303,0.887813688154,7,0.1,8,0,"quadruplet","even",0.966823816299,1.20621705055,6,"e","029"
"practice",3,11,0.689749438184,-0.507942733661,3,0.1,7,0,"quadruplet","odd",1.28687310219,1.12393808365,4,"o","029"
"practice",4,12,-0.435526661241,-0.395315217388,7,0.1,6,0,"quadruplet","even",1.14290308952,0.799257993698,2,"e","029"
"practice",4,13,0.365492315804,-0.748787868014,5,0.1,5,0,"quadruplet","odd",3.56686902046,0.850800037384,8,"o","029"
"practice",3,14,-0.521419036766,0.674281580416,5,0.1,4,0,"quadruplet","even",1.19887089729,0.67520904541,2,"e","029"
"practice",3,15,-0.497683977613,-0.531416955585,9,0.1,3,0,"quadruplet","odd",0.96667098999,1.04486203194,6,"o","029"
"practice",2,16,-0.733280072291,-0.443850174763,9,0.1,2,0,"quadruplet","even",2.20675420761,2.39752578735,6,"e","029"
"practice",3,17,-0.290457788557,0.859548132882,7,0.1,1,0,"quadruplet","odd",0.686852931976,0.838554143906,6,"o","029"
"experiment",2,0,-0.713807540364,-0.718569409344,5,0.1,1,0,"quadruplet","even",1.51081490517,1.70986509323,8,"e","029"
"experiment",3,1,-0.478496418828,0.465702569465,7,0.1,4,0,"quadruplet","odd",0.830821990967,0.672540903091,6,"o","029"
"experiment",2,2,0.389207674995,-0.0787340867242,7,0.1,3,0,"quadruplet","odd",1.15078306198,0.750953912735,4,"e","029"
"experiment",2,3,-0.194090578173,-0.257053691255,5,0.1,5,0,"quadruplet","even",1.13488984108,0.670724153519,6,"e","029"
"experiment",2,4,-0.957839658305,-0.0233515193662,7,0.1,2,0,"quadruplet","odd",1.10284304619,1.28873801231,8,"o","029"
"experiment",4,5,0.00501269866547,0.182934546991,5,0.1,6,0,"quadruplet","odd",1.05485486984,1.4256029129,8,"o","029"
"experiment",1,6,0.97940780512,0.0482063180437,5,0.1,1,0,"quadruplet","even",0.366766929626,1.51207685471,4,"e","029"
"experiment",3,7,-0.701497013386,0.877178475775,5,0.1,5,0,"quadruplet","even",1.59874081612,2.35653996468,6,"e","029"
"experiment",2,8,0.275227230234,-0.317194960692,5,0.1,3,0,"quadruplet","even",1.71083593369,1.34308099747,2,"o","029"
"experiment",2,9,-0.526502649636,-0.00534785029211,9,0.1,2,0,"quadruplet","odd",1.60685491562,1.25149798393,2,"o","029"
"experiment",2,10,-0.481138625164,0.774280744309,3,0.1,4,0,"quadruplet","even",2.97481894493,0.840088844299,8,"e","029"
"experiment",3,11,0.841037710176,-0.503828051855,9,0.1,6,0,"quadruplet","odd",1.87081289291,2.05213093758,4,"o","029"
"experiment",2,12,-0.782458848529,-0.550403868902,5,0.1,4,16,"pairs","odd",1.95884799957,3.97380900383,8,"e","029"
"experiment",2,13,0.316658675505,0.994544531285,5,0.1,2,16,"pairs","even",2.71071887016,1.71247982979,8,"o","029"
"experiment",2,14,-0.0219612635952,-0.990455018899,9,0.1,5,16,"pairs","odd",6.6149289608,2.39910197258,2,"o","029"
"experiment",4,15,-0.679420777518,0.0917819754472,5,0.1,6,16,"pairs","even",1.59889507294,0.458693981171,2,"e","029"
"experiment",4,16,-0.0410426357428,-0.0372346373365,9,0.1,3,16,"pairs","even",1.06285810471,0.818419933319,2,"e","029"
"experiment",2,17,0.209307359186,-0.503245699041,9,0.1,1,16,"pairs","odd",2.10287189484,2.40451693535,8,"o","029"
"experiment",3,18,0.66241856175,-0.354340326592,5,0.1,5,16,"pairs","odd",1.44605779648,0.874490976334,2,"o","029"
"experiment",3,19,-0.392697575204,0.897337050252,9,0.1,2,16,"pairs","even",1.27085995674,0.879956007004,2,"e","029"
"experiment",4,20,0.433483877413,-0.716238810013,5,0.1,3,16,"pairs","even",0.942776918411,1.07876396179,2,"o","029"
"experiment",4,21,0.279209437556,0.0489174514327,5,0.1,1,16,"pairs","odd",1.05486392975,0.828956127167,8,"o","029"
"experiment",3,22,0.248003092759,0.660318086072,5,0.1,4,16,"pairs","even",1.9428589344,1.19006800652,2,"e","029"
